username,followers_count,following_count,tweet_count,listed_count,topic_id,twitter_user_id,retrieved_date
nyaoayn,105792,281,20454,1191,9,181066414,3/29/2023
shiifoncake,113064,263,7574,1270,5,1153914005532004352,3/29/2023
iamfarahlola,12257,189,2815,16,8,1014237696565235713,3/29/2023
kixes,30295,1102,99295,436,5,27182288,3/29/2023
sezairi,51043,690,21264,129,8,36800569,3/29/2023
narellekheng,12578,480,1151,30,10,146437142,3/29/2023
Sun_Paisan,5898,519,7102,16,9,1153563669285916672,3/29/2023
FishMonkeyCow_,12677,452,2389,141,5,967218195986751490,3/29/2023
wwwwww1101,2230,78,8808,2,5,925658166024478720,3/29/2023
Mindpatsrvl,103315,74,848,89,15,1305070471663083521,3/29/2023
JCharoensiri,7854,342,3319,56,11,131502046,3/29/2023
JamesPanumas,6940,22,444,4,2,1241426284720181248,3/29/2023
yamyummy,101040,838,233382,43,2,100221994,3/29/2023
thecuriousdan2,13232,187,29757,12,11,1409042869378191365,3/29/2023
HappyBongbongus,2881,305,935,5,11,939812855783636995,3/29/2023
iLawclub,239422,315,21631,374,11,61760897,3/29/2023
NaomiNeo_,416571,600,40814,161,11,57034487,3/29/2023
speishi,162520,60,68644,70,13,91573146,3/29/2023
Jinnyboy,278752,764,26421,193,12,18917343,3/29/2023
dmingthing,10310,260,32085,36,13,87653986,3/29/2023
toshrock,293261,545,28780,132,13,67577830,3/29/2023
JoakimGomez,18792,1287,33953,25,13,325059717,3/29/2023
mingasaur,4558,419,27092,12,13,76295041,3/29/2023
DanialRon,11330,1032,75505,32,5,65365894,3/29/2023
fayhokulani,5855,265,8877,96,4,17357808,3/29/2023
WildpipM,593543,554,4290,949,11,1122732866,3/29/2023
djhollyj,3207,101,3212,18,7,54016272,3/29/2023
uyjpn,53559,839,35950,690,9,1301428310975500288,3/29/2023
cram_box,119814,786,43920,1316,9,172385031,3/29/2023
Hisa0808,143068,852,36378,1381,9,851799747937550336,3/29/2023
lakshya_sen,60473,64,607,48,13,932617429208915969,3/29/2023
AvaniLekhara,62484,128,557,37,10,836484306126139392,3/29/2023
MangteC,1477015,45,1331,274,1,334430754,3/29/2023
NicolDavid,305036,308,5630,330,1,58233846,3/29/2023
